Start,Duration,CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Throughput,SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2.48031s,2.341 ms,2767,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.48086s,1.212 ms,3048,-,-,-,-,-,-,-,-,-,64.00 MiB,51.50 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.48208s,1.212 ms,3113,-,-,-,-,-,-,-,-,-,64.00 MiB,51.56 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.48265s,190.241 μs,2774,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.48284s,3.001 ms,2783,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.48329s,1.212 ms,3178,-,-,-,-,-,-,-,-,-,64.00 MiB,51.50 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.48451s,1.212 ms,3243,-,-,-,-,-,-,-,-,-,64.00 MiB,51.56 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.48573s,1.275 ms,3308,-,-,-,-,-,-,-,-,-,64.00 MiB,49.00 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.48586s,2.341 ms,2801,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.48586s,1.433 ms,2849,-,-,-,-,-,-,-,-,-,64.00 MiB,43.63 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.48701s,1.226 ms,3373,-,-,-,-,-,-,-,-,-,64.00 MiB,50.94 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.4882s,190.049 μs,2808,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.48824s,1.212 ms,3438,-,-,-,-,-,-,-,-,-,64.00 MiB,51.50 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.4884s,3.000 ms,2817,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.48946s,1.212 ms,3503,-,-,-,-,-,-,-,-,-,64.00 MiB,51.50 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.49068s,1.212 ms,3568,-,-,-,-,-,-,-,-,-,64.00 MiB,51.56 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.4914s,2.341 ms,2827,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.4919s,1.212 ms,3633,-,-,-,-,-,-,-,-,-,64.00 MiB,51.56 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.49374s,189.857 μs,2834,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
